"Powertrain","Year","Region","chemistry","MWh","chem_share_mwh"
"BEV","2014","Brazil","LMO",0.2985,0.124452782989368
"BEV","2014","Brazil","LFP",1.38,0.575359599749844
"BEV","2014","Brazil","NMC 622",0.326260894746823,0.136027056388086
"BEV","2014","Brazil","NMC 532",0.154121009071915,0.064257247893231
"BEV","2014","Brazil","NMC 811",0.193936096509701,0.0808572426557021
"BEV","2014","Canada","NMC 111",28.5403349462697,0.0113905917156447
"BEV","2014","Canada","LMO",752.688,0.300401579498133
"BEV","2014","Canada","NMC 622",175.948611828166,0.070221978965634
"BEV","2014","Canada","NMC 532",57.0180091567658,0.0227561752154033
"BEV","2014","Canada","NMC 811",71.7478440687983,0.0286349266679591
"BEV","2014","Canada","NCA",1419.6632,0.566594747937226
"BEV","2014","China","NMC 111",181.101407611988,0.136654317527525
"BEV","2014","China","LMO",26.1088,0.0197010078083263
"BEV","2014","China","LFP",497.0244,0.375041426083492
"BEV","2014","China","NMC 622",150.893398119748,0.1138601549892
"BEV","2014","China","NMC 532",71.2798964109752,0.053785918761847
"BEV","2014","China","NMC 811",89.6940978572889,0.0676807866407966
"BEV","2014","China","NCA",309.15,0.233276388188812
"BEV","2014","EFTA","NMC 111",142.416485858382,0.0729015154943512
"BEV","2014","EFTA","LMO",453.2282,0.232002794098097
"BEV","2014","EFTA","LFP",3.06,0.00156638212260441
"BEV","2014","EFTA","NMC 622",203.215833028164,0.104024067936431
"BEV","2014","EFTA","NMC 532",346.298566784525,0.177266628789154
"BEV","2014","EFTA","NMC 811",92.1512143289289,0.0471712466343536
"BEV","2014","EFTA","NCA",713.176,0.365067364925008
"BEV","2014","European Union","NMC 111",142.416485858382,0.0729015154943512
"BEV","2014","European Union","LMO",453.2282,0.232002794098097
"BEV","2014","European Union","LFP",3.06,0.00156638212260441
"BEV","2014","European Union","NMC 622",203.215833028164,0.104024067936431
"BEV","2014","European Union","NMC 532",346.298566784525,0.177266628789154
"BEV","2014","European Union","NMC 811",92.1512143289289,0.0471712466343536
"BEV","2014","European Union","NCA",713.176,0.365067364925008
"BEV","2014","India","LMO",2.16,0.350649350649351
"BEV","2014","India","LFP",4,0.649350649350649
"BEV","2014","Japan","NMC 111",19.4665183230105,0.0402952831658973
"BEV","2014","Japan","LMO",348.3253,0.721026038886211
"BEV","2014","Japan","LFP",0.4928,0.00102008562674926
"BEV","2014","Japan","NMC 622",26.8104890258202,0.0554971479329505
"BEV","2014","Japan","NMC 532",12.6648939204846,0.02621606382425
"BEV","2014","Japan","NMC 811",15.9366987306847,0.0329886309111296
"BEV","2014","Japan","NCA",59.4,0.122956749652813
"BEV","2014","Mexico","NMC 111",28.5403349462697,0.0113905917156447
"BEV","2014","Mexico","LMO",752.688,0.300401579498133
"BEV","2014","Mexico","NMC 622",175.948611828166,0.070221978965634
"BEV","2014","Mexico","NMC 532",57.0180091567658,0.0227561752154033
"BEV","2014","Mexico","NMC 811",71.7478440687983,0.0286349266679591
"BEV","2014","Mexico","NCA",1419.6632,0.566594747937226
"BEV","2014","Middle East","LMO",0.3453,1
"BEV","2014","Other Asia Pacific","NMC 111",19.4665183230105,0.0402952831658973
"BEV","2014","Other Asia Pacific","LMO",348.3253,0.721026038886211
"BEV","2014","Other Asia Pacific","LFP",0.4928,0.00102008562674926
"BEV","2014","Other Asia Pacific","NMC 622",26.8104890258202,0.0554971479329505
"BEV","2014","Other Asia Pacific","NMC 532",12.6648939204846,0.02621606382425
"BEV","2014","Other Asia Pacific","NMC 811",15.9366987306847,0.0329886309111296
"BEV","2014","Other Asia Pacific","NCA",59.4,0.122956749652813
"BEV","2014","Other Europe","NMC 111",0.0348959719713312,0.0160818341726952
"BEV","2014","Other Europe","LMO",0.8359,0.385225125581824
"BEV","2014","Other Europe","NMC 622",0.249227072376045,0.114856478352019
"BEV","2014","Other Europe","NMC 532",0.601731326374379,0.277308321293322
"BEV","2014","Other Europe","NMC 811",0.148145629278244,0.0682730214656179
"BEV","2014","Other Europe","NCA",0.3,0.138255219134522
"BEV","2014","Other Latin America and Caribbean","NMC 111",0.00558335551541299,0.00554289240088652
"BEV","2014","Other Latin America and Caribbean","LMO",0.9193,0.912637744465402
"BEV","2014","Other Latin America and Caribbean","NMC 622",0.0398763315801673,0.0395873439691922
"BEV","2014","Other Latin America and Caribbean","NMC 532",0.0188370122199007,0.0187004985802647
"BEV","2014","Other Latin America and Caribbean","NMC 811",0.0237033006845191,0.023531520584254
"BEV","2014","South Korea","NMC 111",19.4665183230105,0.0402952831658973
"BEV","2014","South Korea","LMO",348.3253,0.721026038886211
"BEV","2014","South Korea","LFP",0.4928,0.00102008562674926
"BEV","2014","South Korea","NMC 622",26.8104890258202,0.0554971479329505
"BEV","2014","South Korea","NMC 532",12.6648939204846,0.02621606382425
"BEV","2014","South Korea","NMC 811",15.9366987306847,0.0329886309111296
"BEV","2014","South Korea","NCA",59.4,0.122956749652813
"BEV","2014","United Kingdom","NMC 111",142.416485858382,0.0729015154943512
"BEV","2014","United Kingdom","LMO",453.2282,0.232002794098097
"BEV","2014","United Kingdom","LFP",3.06,0.00156638212260441
"BEV","2014","United Kingdom","NMC 622",203.215833028164,0.104024067936431
"BEV","2014","United Kingdom","NMC 532",346.298566784525,0.177266628789154
"BEV","2014","United Kingdom","NMC 811",92.1512143289289,0.0471712466343536
"BEV","2014","United Kingdom","NCA",713.176,0.365067364925008
"BEV","2014","United States","NMC 111",28.5403349462697,0.0113905917156447
"BEV","2014","United States","LMO",752.688,0.300401579498133
"BEV","2014","United States","NMC 622",175.948611828166,0.070221978965634
"BEV","2014","United States","NMC 532",57.0180091567658,0.0227561752154033
"BEV","2014","United States","NMC 811",71.7478440687983,0.0286349266679591
"BEV","2014","United States","NCA",1419.6632,0.566594747937226
"BEV","2015","ASEAN","NMC 111",1.02,0.75
"BEV","2015","ASEAN","LMO",0.208,0.152941176470588
"BEV","2015","ASEAN","NMC 532",0.132,0.0970588235294118
"BEV","2015","Africa","NMC 111",0.114458788065966,0.042684612368438
"BEV","2015","Africa","LMO",0.8775,0.327242215178072
"BEV","2015","Africa","NMC 622",0.817464797393429,0.304853551144296
"BEV","2015","Africa","NMC 532",0.386158750507964,0.144008484246863
"BEV","2015","Africa","NMC 811",0.485917664032641,0.181211137062331
"BEV","2015","Australia/NZ","NMC 111",0.277771936891796,0.00450449500761036
"BEV","2015","Australia/NZ","LMO",4.5025,0.0730148948763896
"BEV","2015","Australia/NZ","NMC 622",1.98384749611332,0.0321711085795675
"BEV","2015","Australia/NZ","NMC 532",0.937141357940058,0.0151971743996247
"BEV","2015","Australia/NZ","NMC 811",1.17923920905482,0.0191231597741821
"BEV","2015","Australia/NZ","NCA",52.785,0.855989167362626
